Ostrov;Piesùany;Trnavsky kraj;1015;556;54.77;556;507385
Pecenady;Piesùany;Trnavsky kraj;463;243;52.48;243;507431
Piesùany;Piesùany;Trnavsky kraj;23983;13007;54.23;13001;507440
Prasnik;Piesùany;Trnavsky kraj;686;354;51.60;354;507466
Rakovice;Piesùany;Trnavsky kraj;482;279;57.88;278;507482
Ratnovce;Piesùany;Trnavsky kraj;844;413;48.93;413;507491
Sokolovce;Piesùany;Trnavsky kraj;1106;561;50.72;561;507563
Sipkove;Piesùany;Trnavsky kraj;264;144;54.54;144;558397
Sterusy;Piesùany;Trnavsky kraj;410;210;51.21;210;556548
Trebatice;Piesùany;Trnavsky kraj;1089;590;54.17;590;507679
Velke Kostolany;Piesùany;Trnavsky kraj;2283;1066;46.69;1066;507709
Velke Orviste;Piesùany;Trnavsky kraj;885;417;47.11;416;556572
Vesele;Piesùany;Trnavsky kraj;975;510;52.30;510;507725
Vrbove;Piesùany;Trnavsky kraj;4842;2521;52.06;2518;507750
Bilkove Humence;Senica;Trnavsky kraj;170;97;57.05;97;504211
Borsky Mikulas;Senica;Trnavsky kraj;3259;1456;44.67;1456;504238
Borsky Svaty Jur;Senica;Trnavsky kraj;1327;572;43.10;572;504220
Cerova;Senica;Trnavsky kraj;958;570;59.49;570;504297
Cary;Senica;Trnavsky kraj;1021;430;42.11;430;504319
Castkov;Senica;Trnavsky kraj;476;311;65.33;311;504327
Dojc;Senica;Trnavsky kraj;1002;526;52.49;526;504335
Hlboke;Senica;Trnavsky kraj;778;424;54.49;424;504360
Hradiste pod Vratnom;Senica;Trnavsky kraj;580;333;57.41;333;504386
Jablonica;Senica;Trnavsky kraj;1858;908;48.86;908;504416
Kovalov;Senica;Trnavsky kraj;576;339;58.85;339;504475
Kuklov;Senica;Trnavsky kraj;626;180;28.75;180;504491
Kuty;Senica;Trnavsky kraj;3991;2151;53.89;2151;504513
Laksarska Nova Ves;Senica;Trnavsky kraj;936;433;46.26;433;504521
Moravsky Svaty Jan;Senica;Trnavsky kraj;1801;933;51.80;933;504572
Osuske;Senica;Trnavsky kraj;487;192;39.42;192;504602
Plavecky Peter;Senica;Trnavsky kraj;510;264;51.76;264;504645
Podbranc;Senica;Trnavsky kraj;524;300;57.25;300;504653
Prietrz;Senica;Trnavsky kraj;614;358;58.30;358;504700
Prievaly;Senica;Trnavsky kraj;810;466;57.53;466;504726
Rohov;Senica;Trnavsky kraj;348;148;42.52;148;556122
Rovensko;Senica;Trnavsky kraj;350;236;67.42;236;504777
Rybky;Senica;Trnavsky kraj;346;207;59.82;207;556131
Sekule;Senica;Trnavsky kraj;1436;738;51.39;738;556114
Senica;Senica;Trnavsky kraj;16558;7941;47.95;7941;504203
Smolinske;Senica;Trnavsky kraj;749;448;59.81;448;504823
Smrdaky;Senica;Trnavsky kraj;539;344;63.82;344;504831
Sobotiste;Senica;Trnavsky kraj;1237;731;59.09;731;504840
Sajdikove Humence;Senica;Trnavsky kraj;920;454;49.34;454;504882
Sastin - Straze;Senica;Trnavsky kraj;4122;1826;44.29;1826;504891
Stefanov;Senica;Trnavsky kraj;1300;620;47.69;620;504904
Brodske;Skalica;Trnavsky kraj;1945;834;42.87;834;504271
Dubovce;Skalica;Trnavsky kraj;522;301;57.66;301;504343
Gbely;Skalica;Trnavsky kraj;4202;2047;48.71;2047;504351
Holic;Skalica;Trnavsky kraj;9233;4545;49.22;4544;504378
Chropov;Skalica;Trnavsky kraj;302;180;59.60;180;504394
Katov;Skalica;Trnavsky kraj;515;286;55.53;286;504432
Kopcany;Skalica;Trnavsky kraj;2056;958;46.59;958;504459
Kovalovec;Skalica;Trnavsky kraj;126;81;64.28;81;504483
Letnicie;Skalica;Trnavsky kraj;413;253;61.25;253;504530
Lopasov;Skalica;Trnavsky kraj;257;191;74.31;191;504548
Mokry Haj;Skalica;Trnavsky kraj;584;325;55.65;325;504564
Oreske;Skalica;Trnavsky kraj;307;228;74.26;228;504599
Petrova Ves;Skalica;Trnavsky kraj;870;499;57.35;499;504611
Popudinske Mocidlany;Skalica;Trnavsky kraj;749;376;50.20;376;504670
Prietrzka;Skalica;Trnavsky kraj;409;256;62.59;256;504718
Radimov;Skalica;Trnavsky kraj;454;246;54.18;246;504734
Radosovce;Skalica;Trnavsky kraj;1456;866;59.47;866;504742
Skalica;Skalica;Trnavsky kraj;12717;6377;50.14;6364;504815
Trnovec;Skalica;Trnavsky kraj;243;155;63.78;155;504912
Unin;Skalica;Trnavsky kraj;998;569;57.01;569;504939
Vradiste;Skalica;Trnavsky kraj;654;370;56.57;369;504963
Bojnicky;Hlohovec;Trnavsky kraj;1182;568;48.05;566;506800
Cervenik;Hlohovec;Trnavsky kraj;1343;754;56.14;754;506885
Dolne Otrokovce;Hlohovec;Trnavsky kraj;307;146;47.55;146;506958
Dolne Trhoviste;Hlohovec;Trnavsky kraj;521;270;51.82;270;506966
Dolne Zelenice;Hlohovec;Trnavsky kraj;479;293;61.16;293;556521
Dvorniky;Hlohovec;Trnavsky kraj;1634;729;44.61;729;507024
Hlohovec;Hlohovec;Trnavsky kraj;17577;8929;50.79;8922;507032
Horne Otrokovce;Hlohovec;Trnavsky kraj;728;390;53.57;389;507075
Horne Trhoviste;Hlohovec;Trnavsky kraj;481;235;48.85;235;556602
Horne Zelenice;Hlohovec;Trnavsky kraj;552;257;46.55;257;556530
Jalsove;Hlohovec;Trnavsky kraj;414;204;49.27;204;507130
Klacany;Hlohovec;Trnavsky kraj;890;432;48.53;432;507172
Koplotovce;Hlohovec;Trnavsky kraj;599;345;57.59;345;507202
Leopoldov;Hlohovec;Trnavsky kraj;3526;1952;55.36;1952;507253
Madunice;Hlohovec;Trnavsky kraj;1795;989;55.09;989;507288
Merasice;Hlohovec;Trnavsky kraj;356;186;52.24;186;507326
Pastuchov;Hlohovec;Trnavsky kraj;769;363;47.20;363;507415
Ratkovce;Hlohovec;Trnavsky kraj;269;172;63.94;172;518620
Sasinkovo;Hlohovec;Trnavsky kraj;719;289;40.19;289;507521
Siladice;Hlohovec;Trnavsky kraj;593;302;50.92;302;507539
Tekoldany;Hlohovec;Trnavsky kraj;122;68;55.73;68;556611
Teplicky;Hlohovec;Trnavsky kraj;253;123;48.61;123;556645
Trakovice;Hlohovec;Trnavsky kraj;1256;747;59.47;747;507661
Zlkovce;Hlohovec;Trnavsky kraj;543;311;57.27;311;507792
Biely Kostol;Trnava;Trnavsky kraj;1681;967;57.52;967;580473
Binovce;Trnava;Trnavsky kraj;549;310;56.46;310;506788
Bohdanovce nad Trnavou;Trnava;Trnavsky kraj;1144;688;60.13;688;506796
Boleraz;Trnava;Trnavsky kraj;1874;974;51.97;974;506818
Borova;Trnava;Trnavsky kraj;363;198;54.54;198;506826
Brestovany;Trnava;Trnavsky kraj;2104;1076;51.14;1074;506842
Bucany;Trnava;Trnavsky kraj;1906;1030;54.03;1030;506851
Bukova;Trnava;Trnavsky kraj;566;318;56.18;318;506869
Cifer;Trnava;Trnavsky kraj;3571;1999;55.97;1997;506877
Dechtice;Trnava;Trnavsky kraj;1521;904;59.43;904;506893
Dlha;Trnava;Trnavsky kraj;355;188;52.95;188;556599
Dobra Voda;Trnava;Trnavsky kraj;700;442;63.14;442;506915
Dolna Krupa;Trnava;Trnavsky kraj;1928;1030;53.42;1030;506923
Dolne Dubove;Trnava;Trnavsky kraj;589;356;60.44;356;506931
Dolne Lovcice;Trnava;Trnavsky kraj;634;377;59.46;377;556661
Dolne Oresany;Trnava;Trnavsky kraj;1082;635;58.68;635;506940
Horna Krupa;Trnava;Trnavsky kraj;425;223;52.47;223;507041
Horne Dubove;Trnava;Trnavsky kraj;318;186;58.49;186;507059
Horne Oresany;Trnava;Trnavsky kraj;1577;865;54.85;865;507067
Hrnciarovce nad Parnou;Trnava;Trnavsky kraj;2310;1509;65.32;1507;581020
Jaslovske Bohunice;Trnava;Trnavsky kraj;1814;1051;57.93;1051;507156
Katlovce;Trnava;Trnavsky kraj;920;566;61.52;566;507164
Kosolna;Trnava;Trnavsky kraj;658;378;57.44;378;507211
Krizovany nad Dudvahom;Trnava;Trnavsky kraj;1483;796;53.67;796;556483
Losonec;Trnava;Trnavsky kraj;473;241;50.95;241;556688
Majcichov;Trnava;Trnavsky kraj;1727;934;54.08;933;507296
Malzenice;Trnava;Trnavsky kraj;1217;681;55.95;681;507318
Nahac;Trnava;Trnavsky kraj;359;189;52.64;189;507351
Opoj;Trnava;Trnavsky kraj;939;531;56.54;531;556491
Pavlice;Trnava;Trnavsky kraj;451;273;60.53;273;556556
Radosovce;Trnava;Trnavsky kraj;326;196;60.12;196;556653
Ruzindol;Trnava;Trnavsky kraj;1278;736;57.58;736;507512
Slovenska Nova Ves;Trnava;Trnavsky kraj;430;257;59.76;257;556564
Smolenice;Trnava;Trnavsky kraj;2719;1666;61.27;1666;507555
Sucha nad Parnou;Trnava;Trnavsky kraj;1735;1031;59.42;1031;507571
Selpice;Trnava;Trnavsky kraj;725;385;53.10;385;556670
Spacince;Trnava;Trnavsky kraj;2307;1441;62.46;1441;507601
Surovce;Trnava;Trnavsky kraj;1902;1030;54.15;1030;507636
Trnava;Trnava;Trnavsky kraj;53227;28001;52.60;27984;506745
Trstin;Trnava;Trnavsky kraj;1176;640;54.42;640;507687
Vlckovce;Trnava;Trnavsky kraj;1114;631;56.64;631;556513
Voderady;Trnava;Trnavsky kraj;1174;650;55.36;650;507741
Zavar;Trnava;Trnavsky kraj;1695;858;50.61;858;507768
Zelenec;Trnava;Trnavsky kraj;2205;1205;54.64;1205;507776
Zvoncin;Trnava;Trnavsky kraj;674;391;58.01;391;581488
Banovce nad Bebravou;Banovce nad Bebravou;Trenciansky kraj;14890;7518;50.49;7514;542652
Borcany;Banovce nad Bebravou;Trenciansky kraj;204;102;50.00;102;556793
Brezolupy;Banovce nad Bebravou;Trenciansky kraj;406;230;56.65;230;542741
Cimenna;Banovce nad Bebravou;Trenciansky kraj;77;54;70.12;54;542776
Cierna Lehota;Banovce nad Bebravou;Trenciansky kraj;119;68;57.14;68;542806
Dezerice;Banovce nad Bebravou;Trenciansky kraj;725;428;59.03;428;542822
Dolne Nastice;Banovce nad Bebravou;Trenciansky kraj;453;259;57.17;259;542849
Dubnicka;Banovce nad Bebravou;Trenciansky kraj;107;77;71.96;77;542857
Dvorec;Banovce nad Bebravou;Trenciansky kraj;354;204;57.62;204;542873
Halacovce;Banovce nad Bebravou;Trenciansky kraj;267;157;58.80;157;542890
Horne Nastice;Banovce nad Bebravou;Trenciansky kraj;373;236;63.27;236;542920
Chuda Lehota;Banovce nad Bebravou;Trenciansky kraj;183;116;63.38;116;556408
Krasna Ves;Banovce nad Bebravou;Trenciansky kraj;427;232;54.33;232;543080
Ksinna;Banovce nad Bebravou;Trenciansky kraj;415;220;53.01;220;543136
Libichava;Banovce nad Bebravou;Trenciansky kraj;120;65;54.16;65;556360
ºutov;Banovce nad Bebravou;Trenciansky kraj;136;87;63.97;87;505056
Mala Hradna;Banovce nad Bebravou;Trenciansky kraj;322;210;65.21;210;505072
Male Hoste;Banovce nad Bebravou;Trenciansky kraj;343;175;51.02;175;505102
Miezgovce;Banovce nad Bebravou;Trenciansky kraj;229;153;66.81;153;505153
Nedasovce;Banovce nad Bebravou;Trenciansky kraj;366;210;57.37;210;505200
Omastina;Banovce nad Bebravou;Trenciansky kraj;39;20;51.28;20;505277
Otrhanky;Banovce nad Bebravou;Trenciansky kraj;336;226;67.26;226;556289
Pecenany;Banovce nad Bebravou;Trenciansky kraj;421;227;53.91;227;505331
Podluzany;Banovce nad Bebravou;Trenciansky kraj;725;392;54.06;392;505358
Pochabany;Banovce nad Bebravou;Trenciansky kraj;203;115;56.65;115;556742
Pravotice;Banovce nad Bebravou;Trenciansky kraj;260;156;60.00;156;505382
Prusy;Banovce nad Bebravou;Trenciansky kraj;502;292;58.16;292;505412
Ruskovce;Banovce nad Bebravou;Trenciansky kraj;447;283;63.31;283;505447
Rybany;Banovce nad Bebravou;Trenciansky kraj;1229;620;50.44;620;505455
